StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q20,Q2,Q3,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q22,Q23,Q16_1,Q16_4,Q16_2,Q16_6,Q16_6_TEXT,Q17_1,Q17_3,Q17_4,Q17_6,Q17_6_TEXT,Q21
2022-11-13 18:13:51,2022-11-13 18:15:46,IP Address,*******,100,114,True,2022-11-13 18:15:46,R_1fa4KZhhuakgR8F,*******,*******,*******,*******,*******,*******,anonymous,EN,rgh227,No,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,Should randomly comment to posts in the same topic,,,,,Add an @peers feature to ask for peers' opinions,,,,
2022-11-13 18:28:36,2022-11-13 18:29:35,IP Address,*******,100,58,True,2022-11-13 18:29:35,R_2rVqdB09Jj5DO7o,*******,*******,*******,*******,*******,*******,anonymous,EN,yl3498,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,Should comment to posts that are not commented yet,,,,Add an @peers feature to ask for peers' opinions,,,,
2022-11-13 21:25:16,2022-11-13 21:26:50,IP Address,*******,100,93,True,2022-11-13 21:26:50,R_2P5mCvX1kAbwGLe,*******,*******,*******,*******,*******,*******,anonymous,EN,rls457,No,,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,,,,Default post order in “community” page should be organized by random rather than by time,,,,,
2022-11-07 10:27:38,2022-11-07 10:27:53,IP Address,*******,14,15,False,2022-11-14 10:33:55,R_0ktTVE180g5jOVP,*******,*******,*******,*******,*******,*******,anonymous,EN,Wc465,No,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-15 13:15:58,2022-11-15 13:17:04,IP Address,*******,100,65,True,2022-11-15 13:17:05,R_2xSoNUH4dOVf8dv,*******,*******,*******,*******,*******,*******,anonymous,EN,ck767,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,Should randomly comment to posts in the same topic,Should comment to posts that are not commented yet,,,Default post order in “community” page should be organized by random rather than by time,,,,,
2022-11-15 14:19:45,2022-11-15 14:20:52,IP Address,*******,100,67,True,2022-11-15 14:20:52,R_3KZ3nTFHx7dM4GX,*******,*******,*******,*******,*******,*******,anonymous,EN,aqg4,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,Should comment to posts that are not commented yet,,,,,Add links to profiles of whom left comments,,,
2022-11-11 09:10:22,2022-11-11 09:11:19,IP Address,*******,71,57,False,2022-11-18 09:11:20,R_1rPkTNmfA6iprxs,*******,*******,*******,*******,*******,*******,anonymous,EN,bmd226,No,,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,,,,,,,,,,,,,
2022-11-12 11:26:13,2022-11-12 11:27:41,IP Address,*******,86,87,False,2022-11-19 11:27:46,R_3dXn1BiGpuevX0x,*******,*******,*******,*******,*******,*******,anonymous,EN,jcl356,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,,,,,,,,,,,
2022-11-07 08:05:26,2022-11-12 13:19:12,IP Address,*******,14,450825,False,2022-11-19 13:19:14,R_UgqgxBEopi3O2wp,*******,*******,*******,*******,*******,*******,anonymous,EN,zrr5,No,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-19 21:05:19,2022-11-19 21:13:15,IP Address,*******,100,475,True,2022-11-19 21:13:15,R_RyRqBldW7jUcPG9,*******,*******,*******,*******,*******,*******,anonymous,EN,Als475,No,,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,Should comment to posts that are not commented yet,,,,,Add links to profiles of whom left comments,,,
2022-11-20 11:43:16,2022-11-20 11:44:38,IP Address,*******,100,81,True,2022-11-20 11:44:38,R_3L6fGxdVwT8lxWa,*******,*******,*******,*******,*******,*******,anonymous,EN,mm2577,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,,,Should comment to posts that are not commented yet,,,Default post order in “community” page should be organized by random rather than by time,,,,,
2022-11-20 19:26:19,2022-11-20 19:27:17,IP Address,*******,100,57,True,2022-11-20 19:27:17,R_2bNKLBspXNM52kh,*******,*******,*******,*******,*******,*******,anonymous,EN,ecs273,No,,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,,,Should comment to posts that are not commented yet,,,,,Add links to profiles of whom left comments,,,
2022-11-13 19:49:12,2022-11-13 19:50:35,IP Address,*******,14,83,False,2022-11-20 19:50:37,R_3iDpHHeNli0oCrE,*******,*******,*******,*******,*******,*******,anonymous,EN,ay283,No,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-15 18:40:10,2022-11-15 18:40:25,IP Address,*******,14,15,False,2022-11-22 18:40:35,R_1Cl0xMDdt0uNuMb,*******,*******,*******,*******,*******,*******,anonymous,EN,bt283,Yes,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-26 00:17:44,2022-11-26 00:20:17,IP Address,*******,100,153,True,2022-11-26 00:20:18,R_11b8OA2IBkG0JN7,*******,*******,*******,*******,*******,*******,anonymous,EN,jx235,No,,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,Should comment to posts that are not commented yet,,,,,Add links to profiles of whom left comments,,,NA
2022-11-26 21:15:58,2022-11-26 21:17:51,IP Address,*******,100,113,True,2022-11-26 21:17:52,R_3dVOFrXuUfUel95,*******,*******,*******,*******,*******,*******,anonymous,EN,ecs273,No,,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Our community should prioritize responding to each other’s comments (also count as comments) rather than always starting new comments.,,,,,,Add an @peers feature to ask for peers' opinions,Add links to profiles of whom left comments,,,
2022-11-21 09:09:11,2022-11-21 09:10:01,IP Address,*******,14,50,False,2022-11-28 09:10:03,R_2t3eXgset27NzH3,*******,*******,*******,*******,*******,*******,anonymous,EN,kad279,No,,,,,,,,,,,,,,,,,,,,,,,,
